N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source,CRR_target
38.0,41.0,67.6,0.48675961538461543,0,Hanna2007,1.3222231501932913
40.0,20.0,77.8,0.47469383033419027,0,Hanna2007,1.3388844915538847
34.0,24.0,86.9,0.4649275719217491,0,Hanna2007,1.1919522137586047
5.0,84.0,12.5,0.4180852,1,Hanna2007,0.372903456829289
11.0,91.0,19.7,0.4563257360406092,1,Hanna2007,0.3895357257741174
6.0,97.0,26.5,0.48254528301886795,1,Hanna2007,1.4751408889842799
7.0,83.0,34.7,0.49091296829971176,1,Hanna2007,0.24031662508240048
15.0,54.0,44.3,0.4848002257336343,1,Hanna2007,0.2210240119581056
16.0,99.0,53.1,0.48166591337099807,1,Hanna2007,0.3400801070917476
13.0,95.0,61.4,0.47904364820846906,1,Hanna2007,0.305079952658673
6.0,99.0,69.7,0.47499799139167853,0,Hanna2007,1.3447780384254506
8.0,100.0,77.9,0.47029794608472403,1,Hanna2007,1.2766520832904207
3.0,89.0,15.5,0.2561,0,Hanna2007,1.4998450660146923
7.0,57.0,26.3,0.33275057034220534,1,Hanna2007,0.05541860057031013
4.0,99.0,34.1,0.3822800586510264,0,Hanna2007,1.4682916741562624
4.0,92.0,42.2,0.40372947867298575,1,Hanna2007,1.3791072644736448
15.0,35.0,53.0,0.41474905660377365,1,Hanna2007,0.2800927935006333
10.0,82.0,62.2,0.4207067524115755,1,Hanna2007,0.12496808545136849
11.0,93.0,70.1,0.42656134094151216,1,Hanna2007,0.289943429472104
13.0,58.0,79.3,0.42615081967213114,1,Hanna2007,0.1965255610086069
8.0,99.0,88.5,0.4241334463276836,1,Hanna2007,1.2485116385464965
7.0,87.0,12.5,0.3298568,0,Hanna2007,0.40280966669651663
12.0,43.0,21.1,0.4147554502369668,1,Hanna2007,0.18439571300442115
3.0,57.0,30.3,0.4416953795379538,1,Hanna2007,
5.0,95.0,38.7,0.4565922480620154,0,Hanna2007,1.4040754235219626
11.0,91.0,48.0,0.45895416666666666,1,Hanna2007,0.283410241634248
12.0,58.0,57.6,0.45676944444444445,1,Hanna2007,0.1454107785101755
10.0,93.0,66.6,0.45491801801801807,1,Hanna2007,0.2788967941732531
9.0,89.0,74.1,0.4560561403508772,1,Hanna2007,0.1781909390438313
7.0,100.0,80.6,0.45415999999999995,1,Hanna2007,1.304877438980286
34.0,7.0,91.7,0.44331814612868053,0,Hanna2007,1.1111523267079144
11.0,89.0,17.7,0.25571,0,Hanna2007,0.37759085309196405
5.0,65.0,47.0,0.3433175531914894,1,Hanna2007,
6.0,97.0,55.7,0.3740027648114901,0,Hanna2007,1.3560686655441263
31.0,34.0,66.7,0.3850752023988006,0,Hanna2007,1.0424836898012446
9.0,84.0,79.0,0.39028797468354437,1,Hanna2007,0.09261906515579049
10.0,96.0,91.0,0.39397499999999996,1,Hanna2007,1.1081518900456995
29.0,32.0,106.8,0.3937855805243446,0,Hanna2007,1.1453401122984355
8.0,18.0,33.6,0.1841412857142857,1,Hanna2007,0.03378557615857495
8.0,98.0,51.0,0.18920092941176467,0,Hanna2007,1.3157675123816193
2.0,60.0,62.6,0.1938476932907348,0,Hanna2007,
10.0,98.0,75.7,0.19370068692206074,0,Hanna2007,1.1668673336988635
5.0,98.0,88.2,0.19413085714285713,0,Hanna2007,1.3311185615155239
5.0,99.0,96.7,0.19153674353671146,0,Hanna2007,1.3236175429007118
4.0,90.0,112.9,0.18993804871567754,1,Hanna2007,1.2519129573220429
13.0,13.0,160.0,0.17326310625,1,Hanna2007,0.3058627525234697
18.0,16.0,170.7,0.1696102460456942,0,Hanna2007,0.37705112611117203
18.0,16.0,189.0,0.163345,0,Hanna2007,0.4068099579270209
6.0,76.0,13.9,0.1553962014388489,0,Hanna2007,0.2564396227393145
8.0,49.0,44.2,0.20331397058823528,1,Hanna2007,0.03876527710190325
5.0,99.0,53.2,0.204069992481203,0,Hanna2007,1.392790714207269
8.0,97.0,88.3,0.1991697757644394,0,Hanna2007,1.2323361452309132
12.0,96.0,111.2,0.192553381294964,0,Hanna2007,1.1176041307901567
9.0,80.0,120.4,0.18938257475083056,0,Hanna2007,1.1453589762260836
